pollinator_species,plant_family,plant_species,location_name,date,ecosystem
Bombus_mixtus,Asparagaceae,Camassia_quamash,cr1,5/24/2009,Oak Savannah
Osmia_dolerosa,Asparagaceae,Camassia_quamash,cr1,5/24/2009,Oak Savannah
Osmia_tristella,Asparagaceae,Camassia_quamash,cr1,5/24/2009,Oak Savannah
Lycaenidae_sp1,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/24/2009,Oak Savannah
Lycaenidae_sp1,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/24/2009,Oak Savannah
Bombus_bifarius,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/24/2009,Oak Savannah
Bombus_mixtus,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/24/2009,Oak Savannah
Bombus_flavifrons,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/24/2009,Oak Savannah
Bombus_flavifrons,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/24/2009,Oak Savannah
Bombus_flavifrons,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/24/2009,Oak Savannah
Bombus_flavifrons,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/24/2009,Oak Savannah
Bombus_flavifrons,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/24/2009,Oak Savannah
Bombus_flavifrons,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/24/2009,Oak Savannah
Bombus_flavifrons,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/24/2009,Oak Savannah
Bombus_melanopygus,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/24/2009,Oak Savannah
Bombus_flavifrons,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/24/2009,Oak Savannah
Bombus_mixtus,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/24/2009,Oak Savannah
Bombus_flavifrons,Ranunculaceae,Delphinium_menziesii,cr1,5/24/2009,Oak Savannah
Bombus_flavifrons,Ranunculaceae,Delphinium_menziesii,cr1,5/24/2009,Oak Savannah
Nomada_sp_1,Ranunculaceae,Ranunculus_occidentalis,cr1,5/24/2009,Oak Savannah
Cheilosia_rita,Ranunculaceae,Ranunculus_occidentalis,cr1,5/24/2009,Oak Savannah
Bombus_bifarius,Asparagaceae,Camassia_quamash,cr1,5/24/2009,Oak Savannah
Lasioglossum_sp_3,Asparagaceae,Camassia_quamash,cr1,5/24/2009,Oak Savannah
Osmia_tristella,Asparagaceae,Camassia_quamash,cr1,5/24/2009,Oak Savannah
Osmia_tristella,Asparagaceae,Camassia_quamash,cr1,5/24/2009,Oak Savannah
Bombus_mixtus,Asparagaceae,Camassia_quamash,cr1,5/24/2009,Oak Savannah
Bombus_flavifrons,Asparagaceae,Camassia_quamash,cr1,5/24/2009,Oak Savannah
Bombus_bifarius,Asparagaceae,Camassia_quamash,cr1,5/24/2009,Oak Savannah
Bombus_mixtus,Asparagaceae,Camassia_quamash,cr1,5/24/2009,Oak Savannah
Bombus_mixtus,Asparagaceae,Camassia_quamash,cr1,5/24/2009,Oak Savannah
Eupeodes_latifasciatus,Asparagaceae,Camassia_quamash,cr1,5/24/2009,Oak Savannah
Icaricia_sp,Asparagaceae,Camassia_quamash,cr1,5/24/2009,Oak Savannah
Icaricia_sp,Asparagaceae,Camassia_quamash,cr1,5/24/2009,Oak Savannah
Osmia_dolerosa,Rosaceae,Fragaria_virginiana,cr1,5/24/2009,Oak Savannah
Toxomerus_occidentalis,Rosaceae,Fragaria_virginiana,cr1,5/24/2009,Oak Savannah
Osmia_tristella,Plantaginaceae,Collinsia_parviflora,cr1,5/24/2009,Oak Savannah
Osmia_pusilla,Plantaginaceae,Collinsia_parviflora,cr1,5/24/2009,Oak Savannah
Bombus_flavifrons,Plantaginaceae,Collinsia_parviflora,cr1,5/24/2009,Oak Savannah
Osmia_tristella,Plantaginaceae,Collinsia_parviflora,cr1,5/24/2009,Oak Savannah
Bombylius_major,Violaceae,Viola_adunca,cr1,5/24/2009,Oak Savannah
Bombus_flavifrons,Violaceae,Viola_adunca,cr1,5/24/2009,Oak Savannah
Bombus_flavifrons,Plantaginaceae,Collinsia_parviflora,cr1,5/28/2009,Oak Savannah
Osmia_pusilla,Plantaginaceae,Collinsia_parviflora,cr1,5/28/2009,Oak Savannah
Syrphus_opinator,Violaceae,Viola_adunca,cr1,5/28/2009,Oak Savannah
Buprestidae_sp_1,Ranunculaceae,Ranunculus_occidentalis,cr1,5/28/2009,Oak Savannah
Lasioglossum_cressonii,Ranunculaceae,Ranunculus_occidentalis,cr1,5/28/2009,Oak Savannah
Bombus_mixtus,Asparagaceae,Camassia_quamash,cr1,5/28/2009,Oak Savannah
Bombus_flavifrons,Asparagaceae,Camassia_quamash,cr1,5/28/2009,Oak Savannah
Bombus_mixtus,Asparagaceae,Camassia_quamash,cr1,5/28/2009,Oak Savannah
Eriozona_erraticus,Asparagaceae,Camassia_quamash,cr1,5/28/2009,Oak Savannah
Bombus_mixtus,Asparagaceae,Camassia_quamash,cr1,5/28/2009,Oak Savannah
Osmia_tristella,Asparagaceae,Camassia_quamash,cr1,5/28/2009,Oak Savannah
Bombus_flavifrons,Asparagaceae,Camassia_quamash,cr1,5/28/2009,Oak Savannah
Osmia_tristella,Asparagaceae,Camassia_quamash,cr1,5/28/2009,Oak Savannah
Ancistrocerus_sp,Asparagaceae,Camassia_quamash,cr1,5/28/2009,Oak Savannah
Osmia_tristella,Asparagaceae,Camassia_quamash,cr1,5/28/2009,Oak Savannah
Bombus_flavifrons,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/28/2009,Oak Savannah
Bombus_flavifrons,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/28/2009,Oak Savannah
Bombus_flavifrons,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/28/2009,Oak Savannah
Bombus_flavifrons,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/28/2009,Oak Savannah
Bombus_flavifrons,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/28/2009,Oak Savannah
Bombus_flavifrons,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/28/2009,Oak Savannah
Bombus_flavifrons,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/28/2009,Oak Savannah
Bombus_mixtus,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/28/2009,Oak Savannah
Bombus_flavifrons,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/28/2009,Oak Savannah
Bombus_flavifrons,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/28/2009,Oak Savannah
Bombus_flavifrons,Ranunculaceae,Delphinium_menziesii,cr1,5/28/2009,Oak Savannah
Osmia_dolerosa,Plantaginaceae,Collinsia_parviflora,cr1,5/28/2009,Oak Savannah
Osmia_pusilla,Plantaginaceae,Collinsia_parviflora,cr1,5/28/2009,Oak Savannah
Nomada_sp_1,Rosaceae,Fragaria_virginiana,cr1,5/28/2009,Oak Savannah
Halictus_confusus,Rosaceae,Fragaria_virginiana,cr1,5/28/2009,Oak Savannah
Bombus_flavifrons,Asparagaceae,Camassia_quamash,cr1,5/28/2009,Oak Savannah
Osmia_pusilla,Asparagaceae,Camassia_quamash,cr1,5/28/2009,Oak Savannah
Bombus_mixtus,Asparagaceae,Camassia_quamash,cr1,5/28/2009,Oak Savannah
Bombus_bifarius,Asparagaceae,Camassia_quamash,cr1,5/28/2009,Oak Savannah
Bombus_mixtus,Asparagaceae,Camassia_quamash,cr1,5/28/2009,Oak Savannah
Bombus_mixtus,Asparagaceae,Camassia_quamash,cr1,5/28/2009,Oak Savannah
Bombus_mixtus,Asparagaceae,Camassia_quamash,cr1,5/28/2009,Oak Savannah
Sphaerophoria_philanthus,Asparagaceae,Camassia_quamash,cr1,5/28/2009,Oak Savannah
Bombus_mixtus,Asparagaceae,Camassia_quamash,cr1,5/28/2009,Oak Savannah
Bombus_flavifrons,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/28/2009,Oak Savannah
Bombus_melanopygus,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/28/2009,Oak Savannah
Bombus_flavifrons,Ericaceae,Arctostaphylos_uva-ursi,cr1,5/28/2009,Oak Savannah
Lasioglossum_villosulum,Ranunculaceae,Delphinium_menziesii,cr1,5/28/2009,Oak Savannah
Sphaerophoria_philanthus,Rosaceae,Fragaria_virginiana,cr1,5/28/2009,Oak Savannah
Halictus_confusus,Rosaceae,Fragaria_virginiana,cr1,5/28/2009,Oak Savannah
Cheilosia_rita,Rosaceae,Fragaria_virginiana,cr1,5/28/2009,Oak Savannah
Cheilosia_rita,Rosaceae,Fragaria_virginiana,cr1,5/28/2009,Oak Savannah
Halictus_confusus,Rosaceae,Fragaria_virginiana,cr1,5/28/2009,Oak Savannah
Bombus_mixtus,Violaceae,Viola_adunca,cr1,5/28/2009,Oak Savannah
Microlepidoptera_sp,Apiaceae,Lomatium_utriculatum,cr1,5/28/2009,Oak Savannah
Halictus_confusus,Apiaceae,Lomatium_utriculatum,cr1,5/28/2009,Oak Savannah
Lasioglossum_laevissimum,Apiaceae,Sanicula_crassicaulis,cr1,5/28/2009,Oak Savannah
Microlepidoptera_sp,Apiaceae,Sanicula_crassicaulis,cr1,5/28/2009,Oak Savannah
Lasioglossum_cressonii,Apiaceae,Sanicula_crassicaulis,cr1,5/28/2009,Oak Savannah
Bombus_flavifrons,Ranunculaceae,Delphinium_menziesii,cr1,6/9/2009,Oak Savannah
Lasioglossum_nevadense,Ranunculaceae,Delphinium_menziesii,cr1,6/9/2009,Oak Savannah
Ceratina_acantha,Rosaceae,Rubus_ursinus,cr1,6/9/2009,Oak Savannah
Osmia_tristella,Rosaceae,Rubus_ursinus,cr1,6/9/2009,Oak Savannah
Osmia_tristella,Rosaceae,Rubus_ursinus,cr1,6/9/2009,Oak Savannah
Osmia_dolerosa,Rosaceae,Rubus_ursinus,cr1,6/9/2009,Oak Savannah
Andrena_salicifloris,Caprifoliaceae,Symphoricarpos_albus,cr1,6/9/2009,Oak Savannah
Andrena_sp_5,Caprifoliaceae,Symphoricarpos_albus,cr1,6/9/2009,Oak Savannah
Bombus_mixtus,Caprifoliaceae,Symphoricarpos_albus,cr1,6/9/2009,Oak Savannah
Bombus_bifarius,Caprifoliaceae,Symphoricarpos_albus,cr1,6/9/2009,Oak Savannah
Osmia_dolerosa,Rosaceae,Rosa_gymnocarpa,cr1,6/9/2009,Oak Savannah
Bombus_melanopygus,Rosaceae,Rosa_gymnocarpa,cr1,6/9/2009,Oak Savannah
Bombus_flavifrons,Rosaceae,Rosa_gymnocarpa,cr1,6/9/2009,Oak Savannah
Buprestidae_sp_1,Asteraceae,Achillea_millefolium,cr1,6/9/2009,Oak Savannah
Buprestidae_sp_1,Asteraceae,Achillea_millefolium,cr1,6/9/2009,Oak Savannah
Buprestidae_sp_1,Asteraceae,Achillea_millefolium,cr1,6/9/2009,Oak Savannah
Buprestidae_sp_1,Asteraceae,Achillea_millefolium,cr1,6/9/2009,Oak Savannah
Buprestidae_sp_1,Asteraceae,Achillea_millefolium,cr1,6/9/2009,Oak Savannah
Buprestidae_sp_1,Asteraceae,Achillea_millefolium,cr1,6/9/2009,Oak Savannah
Bombus_melanopygus,Rosaceae,Rosa_gymnocarpa,cr1,6/9/2009,Oak Savannah
Melanostoma_mellinum,Rosaceae,Rosa_gymnocarpa,cr1,6/9/2009,Oak Savannah
Sphaerophoria_philanthus,Rosaceae,Fragaria_virginiana,cr1,6/9/2009,Oak Savannah
Bombus_flavifrons,Ranunculaceae,Delphinium_menziesii,cr1,6/9/2009,Oak Savannah
Lasioglossum_cressonii,Asteraceae,Hypochaeris_radicata,cr1,6/15/2009,Oak Savannah
Halictus_ligatus,Asteraceae,Hypochaeris_radicata,cr1,6/15/2009,Oak Savannah
Lasioglossum_cressonii,Asteraceae,Hypochaeris_radicata,cr1,6/15/2009,Oak Savannah
Lasioglossum_knereri,Asteraceae,Hypochaeris_radicata,cr1,6/15/2009,Oak Savannah
Lasioglossum_sp_6,Asteraceae,Hypochaeris_radicata,cr1,6/15/2009,Oak Savannah
Osmia_pusilla,Lamiaceae,Prunella_vulgaris,cr1,6/15/2009,Oak Savannah
Sphaerophoria_sulphuripes,Lamiaceae,Prunella_vulgaris,cr1,6/15/2009,Oak Savannah
Osmia_pusilla,Amaryllidaceae,Allium_acuminatum,cr1,6/15/2009,Oak Savannah
Osmia_tristella,Amaryllidaceae,Allium_acuminatum,cr1,6/15/2009,Oak Savannah
Lasioglossum_knereri,Amaryllidaceae,Allium_acuminatum,cr1,6/15/2009,Oak Savannah
Megachile_relativa,Asteraceae,Hypochaeris_radicata,cr1,6/15/2009,Oak Savannah
Eriozona_erraticus,Amaryllidaceae,Allium_cernuum,cr1,6/15/2009,Oak Savannah
Osmia_tristella,Lamiaceae,Prunella_vulgaris,cr1,6/15/2009,Oak Savannah
Osmia_tristella,Lamiaceae,Prunella_vulgaris,cr1,6/15/2009,Oak Savannah
Bombus_flavifrons,Lamiaceae,Prunella_vulgaris,cr1,6/15/2009,Oak Savannah
Hylaeus_modestus,Asteraceae,Achillea_millefolium,cr1,6/15/2009,Oak Savannah
Hylaeus_nevadensis,Asteraceae,Achillea_millefolium,cr1,6/15/2009,Oak Savannah
Bombus_bifarius,Asteraceae,Achillea_millefolium,cr1,6/15/2009,Oak Savannah
Lasioglossum_sp_6,Amaryllidaceae,Allium_cernuum,cr1,6/15/2009,Oak Savannah
Buprestidae_sp_1,Asteraceae,Achillea_millefolium,cr1,6/15/2009,Oak Savannah
Adela_septcentrionella,Asteraceae,Achillea_millefolium,cr1,6/15/2009,Oak Savannah
Buprestidae_sp_1,Asteraceae,Achillea_millefolium,cr1,6/15/2009,Oak Savannah
Bombus_mixtus,Caprifoliaceae,Symphoricarpos_albus,cr1,6/15/2009,Oak Savannah
Bombus_melanopygus,Caprifoliaceae,Symphoricarpos_albus,cr1,6/15/2009,Oak Savannah
Bombus_flavifrons,Caprifoliaceae,Symphoricarpos_albus,cr1,6/15/2009,Oak Savannah
Bombus_melanopygus,Caprifoliaceae,Symphoricarpos_albus,cr1,6/15/2009,Oak Savannah
Colletes_kincaidii,Amaryllidaceae,Allium_cernuum,cr1,6/28/2009,Oak Savannah
Bombus_bifarius,Amaryllidaceae,Allium_cernuum,cr1,6/28/2009,Oak Savannah
Bombus_bifarius,Amaryllidaceae,Allium_cernuum,cr1,6/28/2009,Oak Savannah
Bombus_flavifrons,Amaryllidaceae,Allium_cernuum,cr1,6/28/2009,Oak Savannah
Bombus_flavifrons,Amaryllidaceae,Allium_cernuum,cr1,6/28/2009,Oak Savannah
Bombus_bifarius,Amaryllidaceae,Allium_cernuum,cr1,6/28/2009,Oak Savannah
Bombus_bifarius,Amaryllidaceae,Allium_cernuum,cr1,6/28/2009,Oak Savannah
Bombus_melanopygus,Amaryllidaceae,Allium_cernuum,cr1,6/28/2009,Oak Savannah
Buprestidae_sp_1,Amaryllidaceae,Allium_cernuum,cr1,6/28/2009,Oak Savannah
Cerambycidae_sp_6,Asteraceae,Achillea_millefolium,cr1,6/28/2009,Oak Savannah
Cerambycidae_sp_6,Asteraceae,Achillea_millefolium,cr1,6/28/2009,Oak Savannah
Lasioglossum_nevadense,Asteraceae,Achillea_millefolium,cr1,6/28/2009,Oak Savannah
Bombus_bifarius,Amaryllidaceae,Allium_acuminatum,cr1,6/28/2009,Oak Savannah
Hylaeus_modestus,Asteraceae,Achillea_millefolium,cr1,6/28/2009,Oak Savannah
Buprestidae_sp_1,Asteraceae,Achillea_millefolium,cr1,6/28/2009,Oak Savannah
Epeolus_compactus,Asteraceae,Achillea_millefolium,cr1,6/28/2009,Oak Savannah
Sericomyia_lata,Asteraceae,Achillea_millefolium,cr1,6/28/2009,Oak Savannah
Buprestidae_sp_1,Asteraceae,Achillea_millefolium,cr1,6/28/2009,Oak Savannah
Epeolus_compactus,Asteraceae,Achillea_millefolium,cr1,6/28/2009,Oak Savannah
Hylaeus_modestus,Asteraceae,Achillea_millefolium,cr1,6/28/2009,Oak Savannah
Bombus_flavifrons,Hypericaceae,Hypericum_perforatum,cr1,6/28/2009,Oak Savannah
Bombus_bifarius,Amaryllidaceae,Allium_cernuum,cr1,6/28/2009,Oak Savannah
Bombus_flavifrons,Amaryllidaceae,Allium_cernuum,cr1,6/28/2009,Oak Savannah
Lasioglossum_cressonii,Amaryllidaceae,Allium_cernuum,cr1,6/28/2009,Oak Savannah
Osmia_pusilla,Amaryllidaceae,Allium_cernuum,cr1,6/28/2009,Oak Savannah
Bombus_bifarius,Amaryllidaceae,Allium_cernuum,cr1,6/28/2009,Oak Savannah
Lasioglossum_sp_1,Amaryllidaceae,Allium_cernuum,cr1,6/28/2009,Oak Savannah
Bombus_flavifrons,Amaryllidaceae,Allium_cernuum,cr1,6/28/2009,Oak Savannah
Bombus_bifarius,Amaryllidaceae,Allium_cernuum,cr1,6/28/2009,Oak Savannah
Lasioglossum_sp_6,Amaryllidaceae,Allium_cernuum,cr1,6/28/2009,Oak Savannah
Bombus_bifarius,Rosaceae,Holodiscus_discolor,cr1,7/3/2009,Oak Savannah
Bombus_flavifrons,Rosaceae,Holodiscus_discolor,cr1,7/3/2009,Oak Savannah
Bombus_bifarius,Rosaceae,Holodiscus_discolor,cr1,7/3/2009,Oak Savannah
Bombus_flavifrons,Rosaceae,Holodiscus_discolor,cr1,7/3/2009,Oak Savannah
Lasioglossum_olympiae,Rosaceae,Holodiscus_discolor,cr1,7/3/2009,Oak Savannah
Bombus_melanopygus,Rosaceae,Holodiscus_discolor,cr1,7/3/2009,Oak Savannah
Bombus_bifarius,Rosaceae,Holodiscus_discolor,cr1,7/3/2009,Oak Savannah
Lasioglossum_cressonii,Rosaceae,Holodiscus_discolor,cr1,7/3/2009,Oak Savannah
Bombus_bifarius,Rosaceae,Holodiscus_discolor,cr1,7/3/2009,Oak Savannah
Bombus_bifarius,Rosaceae,Holodiscus_discolor,cr1,7/3/2009,Oak Savannah
Bombus_bifarius,Rosaceae,Holodiscus_discolor,cr1,7/3/2009,Oak Savannah
Bombus_bifarius,Rosaceae,Holodiscus_discolor,cr1,7/3/2009,Oak Savannah
Bombus_flavifrons,Hypericaceae,Hypericum_perforatum,cr1,7/3/2009,Oak Savannah
Bombus_bifarius,Rosaceae,Holodiscus_discolor,cr1,7/3/2009,Oak Savannah
Bombus_flavifrons,Rosaceae,Holodiscus_discolor,cr1,7/3/2009,Oak Savannah
Melanostoma_mellinum,Rosaceae,Holodiscus_discolor,cr1,7/3/2009,Oak Savannah
Hylaeus_modestus,Rosaceae,Holodiscus_discolor,cr1,7/3/2009,Oak Savannah
Bombus_flavifrons,Rosaceae,Holodiscus_discolor,cr1,7/3/2009,Oak Savannah
Bombus_bifarius,Rosaceae,Holodiscus_discolor,cr1,7/3/2009,Oak Savannah
Bombus_bifarius,Rosaceae,Holodiscus_discolor,cr1,7/3/2009,Oak Savannah
Bombus_bifarius,Rosaceae,Holodiscus_discolor,cr1,7/3/2009,Oak Savannah
Cerambycidae_sp_6,Rosaceae,Holodiscus_discolor,cr1,7/3/2009,Oak Savannah
Bombus_bifarius,Rosaceae,Holodiscus_discolor,cr1,7/3/2009,Oak Savannah
Bombus_melanopygus,Amaryllidaceae,Allium_cernuum,cr1,7/3/2009,Oak Savannah
Colletes_kincaidii,Amaryllidaceae,Allium_cernuum,cr1,7/3/2009,Oak Savannah
Bombus_bifarius,Amaryllidaceae,Allium_cernuum,cr1,7/3/2009,Oak Savannah
Megachile_nivalis,Amaryllidaceae,Allium_cernuum,cr1,7/3/2009,Oak Savannah
Osmia_tristella,Amaryllidaceae,Allium_cernuum,cr1,7/3/2009,Oak Savannah
Bombus_flavifrons,Amaryllidaceae,Allium_cernuum,cr1,7/3/2009,Oak Savannah
Bombus_bifarius,Amaryllidaceae,Allium_cernuum,cr1,7/3/2009,Oak Savannah
Bombus_bifarius,Amaryllidaceae,Allium_cernuum,cr1,7/3/2009,Oak Savannah
Bombylius_major,Caprifoliaceae,Plectritis_congesta,fs1,5/1/2009,Oak Savannah
Ceratina_acantha,Caprifoliaceae,Plectritis_congesta,fs1,5/1/2009,Oak Savannah
Osmia_tristella,Phrymaceae,Mimulus_alsinoides,fs1,5/1/2009,Oak Savannah
Ceratina_acantha,Phrymaceae,Mimulus_alsinoides,fs1,5/1/2009,Oak Savannah
Ceratina_acantha,Caprifoliaceae,Plectritis_congesta,fs1,5/1/2009,Oak Savannah
Ceratina_acantha,Caprifoliaceae,Plectritis_congesta,fs1,5/1/2009,Oak Savannah
Ceratina_acantha,Caprifoliaceae,Plectritis_congesta,fs1,5/1/2009,Oak Savannah
Nomada_sp_10,Caprifoliaceae,Plectritis_congesta,fs1,5/1/2009,Oak Savannah
Bombylius_major,Caprifoliaceae,Plectritis_congesta,fs1,5/1/2009,Oak Savannah
Cicadellidae_sp,Caprifoliaceae,Plectritis_congesta,fs1,5/1/2009,Oak Savannah
Ceratina_acantha,Caprifoliaceae,Plectritis_congesta,fs1,5/1/2009,Oak Savannah
Ceratina_acantha,Phrymaceae,Mimulus_guttatus,fs1,5/1/2009,Oak Savannah
Ceratina_acantha,Phrymaceae,Mimulus_guttatus,fs1,5/1/2009,Oak Savannah
Bombylius_major,Phrymaceae,Mimulus_guttatus,fs1,5/1/2009,Oak Savannah
Osmia_tristella,Plantaginaceae,Collinsia_parviflora,fs1,5/1/2009,Oak Savannah
Osmia_tristella,Plantaginaceae,Collinsia_parviflora,fs1,5/1/2009,Oak Savannah
Ceratina_acantha,Phrymaceae,Mimulus_guttatus,fs1,5/1/2009,Oak Savannah
Ceratina_acantha,Phrymaceae,Mimulus_guttatus,fs1,5/1/2009,Oak Savannah
Bombylius_major,Caprifoliaceae,Plectritis_congesta,fs1,5/3/2009,Oak Savannah
Bombylius_major,Caprifoliaceae,Plectritis_congesta,fs1,5/3/2009,Oak Savannah
Bombylius_major,Caprifoliaceae,Plectritis_congesta,fs1,5/3/2009,Oak Savannah
Bombylius_major,Caprifoliaceae,Plectritis_congesta,fs1,5/3/2009,Oak Savannah
Bombylius_major,Caprifoliaceae,Plectritis_congesta,fs1,5/3/2009,Oak Savannah
Elateridae_sp_3,Caprifoliaceae,Plectritis_congesta,fs1,5/15/2009,Oak Savannah
Elateridae_sp_3,Caprifoliaceae,Plectritis_congesta,fs1,5/15/2009,Oak Savannah
Bombus_bifarius,Plantaginaceae,Collinsia_parviflora,fs1,5/15/2009,Oak Savannah
Habropoda_miserabilis,Caprifoliaceae,Plectritis_congesta,fs1,5/15/2009,Oak Savannah
Lasioglossum_knereri,Phrymaceae,Mimulus_guttatus,fs1,5/25/2009,Oak Savannah
Cheilosia_rita,Phrymaceae,Mimulus_guttatus,fs1,5/25/2009,Oak Savannah
Andrena_nigrocaerulea,Caprifoliaceae,Plectritis_congesta,fs1,5/25/2009,Oak Savannah
Andrena_nigrocaerulea,Caprifoliaceae,Plectritis_congesta,fs1,5/25/2009,Oak Savannah
