YEAR,SAMPLING_ROUND,DATE,SITE,SPECIES,NUM_FLORAL_UNITS
1,3,6.2.2021,china creek,Taraxacum officinale,5
1,3,6.2.2021,china creek,Trifolium pratense,51
1,3,6.2.2021,china creek,Trifolium repens,54
1,3,6.2.2021,falaise,Bellis perennis,110
1,3,6.2.2021,falaise,Cerastium glomeratum,13
1,3,6.2.2021,falaise,Ranunculus acris,13
1,3,6.2.2021,falaise,Ranunculus repens,157
1,3,6.2.2021,falaise,Trifolium dubium,178
1,3,6.2.2021,falaise,Trifolium repens,32
1,3,6.2.2021,gordon,Bellis perennis,50
1,3,6.2.2021,gordon,Cerastium glomeratum,4
1,3,6.2.2021,gordon,Trifolium dubium,934
1,3,6.2.2021,gordon,Trifolium repens,23
1,3,6.2.2021,kensington,Bellis perennis,77
1,3,6.2.2021,kensington,Cerastium glomeratum,32
1,3,6.2.2021,kensington,Ranunculus repens,3
1,3,6.2.2021,kensington,Trifolium dubium,258
1,3,6.2.2021,kensington,Trifolium repens,149
1,3,6.2.2021,kensington,Veronica arvensis,23
1,3,6.4.2021,killarney,Capsella bursa-pastoris,9
1,3,6.4.2021,killarney,Cerastium glomeratum,1
1,3,6.4.2021,killarney,Ranunculus repens,66
1,3,6.4.2021,killarney,Rorippa palustris,11
1,3,6.4.2021,killarney,Taraxacum officinale,1
1,3,6.4.2021,killarney,Trifolium dubium,75
1,3,6.4.2021,killarney,Trifolium repens,233
1,3,6.2.2021,locarno,Capsella bursa-pastoris,11
1,3,6.2.2021,locarno,Hypochaeris radicata,14
1,3,6.2.2021,locarno,Trifolium dubium,1621
1,3,6.2.2021,locarno,Trifolium repens,1
1,3,6.1.2021,moberly,Bellis perennis,74
1,3,6.1.2021,moberly,Capsella bursa-pastoris,254
1,3,6.1.2021,moberly,Cardamine hirsuta,2
1,3,6.1.2021,moberly,Cerastium glomeratum,23
1,3,6.1.2021,moberly,Erodium cicutarium,37
1,3,6.1.2021,moberly,Ranunculus repens,33
1,3,6.1.2021,moberly,Taraxacum officinale,1
1,3,6.1.2021,moberly,Trifolium dubium,770
1,3,6.1.2021,moberly,Trifolium repens,130
1,3,6.1.2021,moberly,Veronica arvensis,59
1,3,6.1.2021,oak meadows,Lupinus polyphyllus,36
1,3,6.1.2021,oak meadows,Ranunculus acris,49
1,3,6.1.2021,oak meadows,Stellaria media,1272
1,3,6.1.2021,oak meadows,Trifolium dubium,24
1,3,6.1.2021,oak meadows,Trifolium pratense,16
1,3,6.1.2021,oak meadows,Trifolium repens,6
1,3,6.3.2021,prince of wales,Achillea millefolium,16
1,3,6.3.2021,prince of wales,Cerastium glomeratum,3
1,3,6.3.2021,prince of wales,Ranunculus repens,11
1,3,6.3.2021,prince of wales,Trifolium dubium,28
1,3,6.3.2021,prince of wales,Trifolium pratense,39
1,3,6.3.2021,prince of wales,Trifolium repens,7
1,3,6.1.2021,queen elizabeth,Bellis perennis,1896
1,3,6.1.2021,queen elizabeth,Hypochaeris radicata,1
1,3,6.1.2021,queen elizabeth,Trifolium dubium,908
1,3,6.1.2021,queen elizabeth,Trifolium repens,27
1,3,6.1.2021,queen elizabeth,Veronica arvensis,3
1,3,6.1.2021,quilchena,Taraxacum officinale,1
1,3,6.1.2021,quilchena,Trifolium dubium,681
1,3,6.1.2021,quilchena,Trifolium repens,176
1,3,6.2.2021,rupert,Bellis perennis,381
1,3,6.2.2021,rupert,Cerastium glomeratum,225
1,3,6.2.2021,rupert,Ranunculus repens,8
1,3,6.2.2021,rupert,Trifolium dubium,636
1,3,6.2.2021,rupert,Trifolium pratense,2
1,3,6.2.2021,rupert,Trifolium repens,13
1,3,6.4.2021,slocan,Bellis perennis,39
1,3,6.4.2021,slocan,Ranunculus acris,12
1,3,6.4.2021,slocan,Trifolium dubium,495
1,3,6.4.2021,slocan,Trifolium pratense,3
1,3,6.4.2021,slocan,Trifolium repens,1248
1,3,6.2.2021,memorial south,Achillea millefolium,564
1,3,6.2.2021,memorial south,Centaurea cyanus,42
1,3,6.2.2021,memorial south,Cheiranthus allionii,11
1,3,6.2.2021,memorial south,Dianthus barbatus,35
1,3,6.2.2021,memorial south,Eschscholzia californica,2
1,3,6.2.2021,memorial south,Galium aparine,35
1,3,6.2.2021,memorial south,Geranium molle,2
1,3,6.2.2021,memorial south,Geranium robertianum,8
1,3,6.2.2021,memorial south,Hesperis matronalis,612
1,3,6.2.2021,memorial south,Linum lewisii,2
1,3,6.2.2021,memorial south,Lupinus polyphyllus,2377
1,3,6.2.2021,memorial south,Myosotis sylvatica,17
1,3,6.2.2021,memorial south,Nemophila menziesii,33
1,3,6.2.2021,memorial south,Papaver sp.,21
1,3,6.2.2021,memorial south,Ranunculus repens,45
1,3,6.2.2021,memorial south,Senecio vulgaris,21
1,3,6.2.2021,memorial south,Sisymbrium officinale,8
1,3,6.2.2021,memorial south,Sonchus arvensis,1
1,3,6.2.2021,memorial south,Taraxacum officinale,1
1,3,6.2.2021,memorial south,Trifolium dubium,227
1,3,6.2.2021,memorial south,Trifolium pratense,26
1,3,6.2.2021,memorial south,Trifolium repens,1004
1,3,6.2.2021,memorial south,Vicia americana,38
1,3,6.2.2021,west memorial,Bellis perennis,253
1,3,6.2.2021,west memorial,Ranunculus repens,12
1,3,6.2.2021,west memorial,Trifolium dubium,174
1,3,6.2.2021,west memorial,Trifolium repens,17
1,3,6.2.2021,west memorial,Veronica serpyllifolia,2
1,3,6.1.2021,winona,Bellis perennis,3
1,3,6.1.2021,winona,Cerastium glomeratum,129
1,3,6.1.2021,winona,Trifolium dubium,128
1,3,6.1.2021,winona,Trifolium repens,50
1,3,6.1.2021,winona,Veronica arvensis,6
1,4,6.22.2021,balaclava,Plantago lanceolata,6
1,4,6.22.2021,balaclava,Trifolium dubium,334
1,4,6.22.2021,balaclava,Trifolium repens,86
1,4,6.17.2021,bobolink,Bellis perennis,246
1,4,6.17.2021,bobolink,Cerastium glomeratum,1
1,4,6.17.2021,bobolink,Ranunculus repens,46
1,4,6.17.2021,bobolink,Trifolium dubium,922
1,4,6.17.2021,bobolink,Trifolium repens,246
1,4,6.18.2021,china creek,Brassica sp.,50
1,4,6.18.2021,china creek,Epilobium ciliatum,12
1,4,6.18.2021,china creek,Eschscholzia californica,187
1,4,6.18.2021,china creek,Lupinus polyphyllus,17
1,4,6.18.2021,china creek,Papaver sp.,6
1,4,6.18.2021,china creek,Ranunculus acris,82
1,4,6.18.2021,china creek,Ranunculus repens,268
1,4,6.18.2021,china creek,Sisymbrium officinale,28
1,4,6.18.2021,china creek,Solanum dulcamara,6
1,4,6.18.2021,china creek,Taraxacum officinale,1
1,4,6.18.2021,china creek,Trifolium pratense,280
1,4,6.21.2021,falaise,Bellis perennis,22
1,4,6.21.2021,falaise,Cerastium glomeratum,14
1,4,6.21.2021,falaise,Geranium molle,2
1,4,6.21.2021,falaise,Hypericum anagalloides,65
1,4,6.21.2021,falaise,Ranunculus acris,21
1,4,6.21.2021,falaise,Ranunculus repens,449
1,4,6.21.2021,falaise,Trifolium dubium,128
1,4,6.21.2021,falaise,Trifolium pratense,9
1,4,6.21.2021,falaise,Trifolium repens,347
1,4,6.21.2021,gordon,Bellis perennis,9
1,4,6.21.2021,gordon,Cerastium glomeratum,15
1,4,6.21.2021,gordon,Taraxacum officinale,1
1,4,6.21.2021,gordon,Trifolium dubium,717
1,4,6.21.2021,gordon,Trifolium repens,394
1,4,6.18.2021,kensington,Bellis perennis,12
1,4,6.18.2021,kensington,Cerastium glomeratum,1
1,4,6.18.2021,kensington,Hypochaeris radicata,2
1,4,6.18.2021,kensington,Ranunculus repens,2
1,4,6.18.2021,kensington,Trifolium dubium,399
1,4,6.18.2021,kensington,Trifolium repens,423
1,4,6.17.2021,killarney,Achillea millefolium,600
1,4,6.17.2021,killarney,Bellis perennis,35
1,4,6.17.2021,killarney,Hypochaeris radicata,21
1,4,6.17.2021,killarney,Ranunculus repens,28
1,4,6.17.2021,killarney,Rorippa palustris,686
1,4,6.17.2021,killarney,Trifolium repens,1385
1,4,6.22.2021,locarno,Erodium cicutarium,166
1,4,6.22.2021,locarno,Hypochaeris radicata,6
1,4,6.22.2021,locarno,Plantago lanceolata,28
1,4,6.22.2021,locarno,Trifolium dubium,485
1,4,6.16.2021,moberly,Bellis perennis,33
1,4,6.16.2021,moberly,Capsella bursa-pastoris,372
1,4,6.16.2021,moberly,Erodium cicutarium,46
1,4,6.16.2021,moberly,Taraxacum officinale,2
1,4,6.16.2021,moberly,Trifolium dubium,257
1,4,6.16.2021,moberly,Trifolium repens,328
1,4,6.16.2021,moberly,Veronica arvensis,22
1,4,6.16.2021,oak meadows,Achillea millefolium,39
1,4,6.16.2021,oak meadows,Hypochaeris radicata,14
1,4,6.16.2021,oak meadows,Ranunculus acris,27
1,4,6.16.2021,oak meadows,Stellaria media,1320
1,4,6.16.2021,oak meadows,Trifolium dubium,13
1,4,6.16.2021,oak meadows,Trifolium pratense,25
1,4,6.16.2021,oak meadows,Trifolium repens,39
1,4,6.18.2021,oak meadows,Vicia cracca,70
1,4,6.18.2021,prince of wales,Achillea millefolium,565
1,4,6.18.2021,prince of wales,Cerastium glomeratum,1
1,4,6.18.2021,prince of wales,Hypochaeris radicata,1
1,4,6.18.2021,prince of wales,Ranunculus acris,24
1,4,6.18.2021,prince of wales,Ranunculus repens,3
1,4,6.18.2021,prince of wales,Trifolium dubium,101
1,4,6.18.2021,prince of wales,Trifolium pratense,80
1,4,6.18.2021,prince of wales,Trifolium repens,83
1,4,6.18.2021,queen elizabeth,Bellis perennis,583
1,4,6.18.2021,queen elizabeth,Cerastium glomeratum,37
1,4,6.18.2021,queen elizabeth,Hypochaeris radicata,9
1,4,6.18.2021,queen elizabeth,Trifolium dubium,493
1,4,6.18.2021,queen elizabeth,Trifolium repens,202
1,4,6.17.2021,quilchena,Hypochaeris radicata,2
1,4,6.17.2021,quilchena,Ranunculus repens,2
1,4,6.17.2021,quilchena,Trifolium dubium,684
1,4,6.17.2021,quilchena,Trifolium repens,379
1,4,6.17.2021,rupert,Bellis perennis,183
1,4,6.17.2021,rupert,Cerastium glomeratum,189
1,4,6.17.2021,rupert,Hypochaeris radicata,2
1,4,6.17.2021,rupert,Plantago lanceolata,12
1,4,6.22.2021,rupert,Prunella vulgaris,830
1,4,6.22.2021,rupert,Ranunculus repens,13
1,4,6.22.2021,rupert,Trifolium dubium,1395
1,4,6.22.2021,rupert,Trifolium pratense,37
1,4,6.22.2021,rupert,Trifolium repens,296
1,4,6.22.2021,rupert,Veronica arvensis,54
1,4,6.22.2021,slocan,Bellis perennis,7
1,4,6.22.2021,slocan,Ranunculus repens,2
1,4,6.17.2021,slocan,Trifolium dubium,87
1,4,6.17.2021,slocan,Trifolium pratense,3
1,4,6.17.2021,slocan,Trifolium repens,1075
1,4,6.17.2021,memorial south,Achillea millefolium,19231
1,4,6.17.2021,memorial south,Capsella bursa-pastoris,16
1,4,6.22.2021,memorial south,Centaurea cyanus,52
1,4,6.22.2021,memorial south,Delphinium consolida,36
1,4,6.22.2021,memorial south,Dianthus barbatus,168
1,4,6.22.2021,memorial south,Eschscholzia californica,12
1,4,6.22.2021,memorial south,Galium aparine,456
1,4,6.22.2021,memorial south,Linum lewisii,1
1,4,6.22.2021,memorial south,Lupinus polyphyllus,24
1,4,6.22.2021,memorial south,Papaver sp.,5
1,4,6.22.2021,memorial south,Sisymbrium officinale,76
1,4,6.22.2021,memorial south,Trifolium dubium,26
1,4,6.22.2021,memorial south,Trifolium pratense,90
1,4,6.22.2021,memorial south,Trifolium repens,1003
1,4,6.22.2021,west memorial,Bellis perennis,91
1,4,6.22.2021,west memorial,Cerastium glomeratum,48
1,4,6.21.2021,west memorial,Hypochaeris radicata,28
1,4,6.21.2021,west memorial,Prunella vulgaris,4
1,4,6.21.2021,west memorial,Trifolium dubium,280
1,4,6.21.2021,west memorial,Trifolium repens,29
1,4,6.21.2021,west memorial,Veronica arvensis,1
1,4,6.18.2021,winona,Bellis perennis,46
1,4,6.18.2021,winona,Cerastium glomeratum,73
1,4,6.18.2021,winona,Taraxacum officinale,1
1,4,6.18.2021,winona,Trifolium dubium,93
1,4,6.18.2021,winona,Trifolium repens,330
1,4,6.18.2021,winona,Veronica arvensis,6
1,5,7.5.2021,balaclava,Crepis capillaris,1
1,5,7.5.2021,balaclava,Hypochaeris radicata,1
1,5,7.5.2021,balaclava,Plantago lanceolata.,5
1,5,7.5.2021,balaclava,Trifolium repens,76
1,5,7.5.2021,bobolink,Bellis perennis,3
1,5,7.5.2021,bobolink,Hypochaeris radicata,1
1,5,7.5.2021,bobolink,Ranunculus repens,12
1,5,7.5.2021,bobolink,Trifolium dubium,27
1,5,7.5.2021,bobolink,Trifolium repens,118
1,5,7.11.2021,china creek,Achillea millefolium,1164
1,5,7.11.2021,china creek,Cerastium glomeratum,3
1,5,7.11.2021,china creek,Cheiranthus allionii,12
1,5,7.11.2021,china creek,Eschscholzia californica,10
1,5,7.11.2021,china creek,Foeniculum vulgare,273
1,5,7.11.2021,china creek,Medicago sativa,54
1,5,7.11.2021,china creek,Papaver sp.,5
1,5,7.11.2021,china creek,Persicaria maculosa,88
1,5,7.11.2021,china creek,Plantago majus,22
1,5,7.11.2021,china creek,Ranunculus repens,12
1,5,7.11.2021,china creek,Trifolium pratense,22
1,5,7.11.2021,china creek,Trifolium repens,12
1,5,7.5.2021,falaise,Bellis perennis,3
1,5,7.5.2021,falaise,Cerastium glomeratum,5
1,5,7.5.2021,falaise,Hypericum anagalloides,304
1,5,7.5.2021,falaise,Prunella vulgaris,1384
1,5,7.5.2021,falaise,Ranunculus acris,42
1,5,7.5.2021,falaise,Ranunculus repens,108
1,5,7.5.2021,falaise,Trifolium pratense,5
1,5,7.5.2021,falaise,Trifolium repens,328
1,5,7.3.2021,gordon,Hypochaeris radicata,5
1,5,7.3.2021,gordon,Trifolium dubium,70
1,5,7.3.2021,gordon,Trifolium repens,813
1,5,7.14.2021,kensington,Hypochaeris radicata,52
1,5,7.14.2021,kensington,Trifolium repens,20
1,5,7.5.2021,killarney,Achillea millefolium,2496
1,5,7.5.2021,killarney,Crepis capillaris,175
1,5,7.5.2021,killarney,Hypochaeris radicata,18
1,5,7.5.2021,killarney,Ranunculus repens,1
1,5,7.5.2021,killarney,Rorippa palustris,1016
1,5,7.5.2021,killarney,Trifolium repens,290
1,5,7.6.2021,locarno,Achillea millefolium,36
1,5,7.6.2021,locarno,Hypochaeris radicata,2
1,5,7.2.2021,moberly,Bellis perennis,4
1,5,7.2.2021,moberly,Capsella bursa-pastoris,7
1,5,7.2.2021,moberly,Cerastium glomeratum,11
1,5,7.2.2021,moberly,Erodium cicutarium,8
1,5,7.2.2021,moberly,Matricaria discoidea,18
1,5,7.2.2021,moberly,Plantago lanceolata,77
1,5,7.2.2021,moberly,Ranunculus repens,10
1,5,7.2.2021,moberly,Trifolium dubium,7
1,5,7.2.2021,moberly,Trifolium repens,33
1,5,7.2.2021,oak meadows,Achillea millefolium,331
1,5,7.2.2021,oak meadows,Hypochaeris radicata,43
1,5,7.2.2021,oak meadows,Ranunculus repens,1
1,5,7.2.2021,oak meadows,Stellaria media,127
1,5,7.2.2021,oak meadows,Trifolium pratense,47
1,5,7.2.2021,oak meadows,Trifolium repens,3
1,5,7.6.2021,prince of wales,Achillea millefolium,373
1,5,7.6.2021,prince of wales,Cerastium glomeratum,36
1,5,7.6.2021,prince of wales,Hypochaeris radicata,3
1,5,7.6.2021,prince of wales,Prunella vulgaris,26
1,5,7.6.2021,prince of wales,Ranunculus acris,3
1,5,7.6.2021,prince of wales,Trifolium dubium,2
1,5,7.6.2021,prince of wales,Trifolium pratense,163
1,5,7.6.2021,prince of wales,Trifolium repens,93
1,5,7.5.2021,queen elizabeth,Bellis perennis,6
1,5,7.5.2021,queen elizabeth,Hypochaeris radicata,216
1,5,7.5.2021,queen elizabeth,Trifolium repens,60
1,5,7.6.2021,quilchena,Achillea millefolium,76
1,5,7.6.2021,quilchena,Hypochaeris radicata,1
1,5,7.6.2021,quilchena,Ranunculus repens,1
1,5,7.6.2021,quilchena,Trifolium dubium,30
1,5,7.6.2021,quilchena,Trifolium repens,308
1,5,7.11.2021,rupert,Bellis perennis,3
1,5,7.11.2021,rupert,Cerastium glomeratum,4
1,5,7.11.2021,rupert,Crepis capillaris,35
1,5,7.11.2021,rupert,Plantago lanceolata,24
1,5,7.11.2021,rupert,Prunella vulgaris,627
1,5,7.11.2021,rupert,Trifolium dubium,163
1,5,7.11.2021,rupert,Trifolium pratense,16
1,5,7.11.2021,rupert,Trifolium repens,262
1,5,7.5.2021,slocan,Bellis perennis,2
1,5,7.5.2021,slocan,Hypochaeris radicata,1
1,5,7.5.2021,slocan,Plantago majus,3
1,5,7.5.2021,slocan,Trifolium pratense,4
1,5,7.5.2021,slocan,Trifolium repens,231
1,5,7.2.2021,memorial south,Achillea millefolium,14920
1,5,7.2.2021,memorial south,Centaurea cyanus,18
1,5,7.2.2021,memorial south,Convolvulus arvensis,4
1,5,7.2.2021,memorial south,Delphinium consolida,3830
1,5,7.2.2021,memorial south,Diplotaxis tenuifolia,1
1,5,7.2.2021,memorial south,Hypochaeris radicata,7
1,5,7.2.2021,memorial south,Leucanthemum vulgare,20
1,5,7.2.2021,memorial south,Melilotus albus,5760
1,5,7.2.2021,memorial south,Papaver sp.,2
1,5,7.2.2021,memorial south,Sisymbrium officinale,60
1,5,7.2.2021,memorial south,Sonchus arvensis,2
1,5,7.2.2021,memorial south,Trifolium pratense,279
1,5,7.2.2021,memorial south,Trifolium repens,75
1,5,7.6.2021,west memorial,Bellis perennis,4
1,5,7.6.2021,west memorial,Hypochaeris radicata,373
1,5,7.6.2021,west memorial,Prunella vulgaris,3
1,5,7.6.2021,west memorial,Trifolium dubium,7
1,5,7.6.2021,west memorial,Trifolium repens,12
1,5,7.5.2021,winona,Bellis perennis,1
1,5,7.5.2021,winona,Cerastium glomeratum,4
1,5,7.5.2021,winona,Plantago lanceolata.,4
1,5,7.5.2021,winona,Trifolium repens,222
1,6,7.16.2021,balaclava,Crepis capillaris,1
1,6,7.16.2021,balaclava,Hypochaeris radicata,1
1,6,7.16.2021,balaclava,Solidago lanceolata,5
1,6,7.16.2021,balaclava,Trifolium repens,76
1,6,7.29.2021,bobolink,Crepis capillaris,2
1,6,7.29.2021,bobolink,Hypochaeris radicata,19
1,6,7.29.2021,bobolink,Trifolium repens,26
1,6,7.27.2021,china creek,Achillea millefolium,336
1,6,7.27.2021,china creek,Centaurea cyanus,1
1,6,7.27.2021,china creek,Chenopodium sp.,1400
1,6,7.27.2021,china creek,Coreopsis lanceolata,4
1,6,7.27.2021,china creek,Crepis capillaris,35
1,6,7.27.2021,china creek,Eschscholzia californica,176
1,6,7.27.2021,china creek,Helianthus annus,1
1,6,7.27.2021,china creek,Layia platyglossa,2
1,6,7.27.2021,china creek,Medicago sativa,997
1,6,7.27.2021,china creek,Mycelis muralis,40
1,6,7.27.2021,china creek,Plantago lanceolata,9
1,6,7.27.2021,china creek,Rumex sp.,64
1,6,7.27.2021,china creek,Taraxacum officinale,1
1,6,7.27.2021,china creek,Trifolium pratense,27
1,6,7.24.2021,falaise,Achillea millefolium,12
1,6,7.24.2021,falaise,Crepis capillaris,6
1,6,7.24.2021,falaise,Hypericum anagalloides,10
1,6,7.24.2021,falaise,Hypochaeris radicata,38
1,6,7.24.2021,falaise,Plantago lanceolata,42
1,6,7.24.2021,falaise,Prunella vulgaris,128
1,6,7.24.2021,falaise,Trifolium repens,71
1,6,7.22.2021,gordon,Crepis capillaris,6
1,6,7.22.2021,gordon,Hypochaeris radicata,7
1,6,7.29.2021,kensington,Hypochaeris radicata,16
1,6,7.29.2021,kensington,Trifolium repens,13
1,6,7.29.2021,killarney,Achillea millefolium,2318
1,6,7.29.2021,killarney,Crepis capillaris,151
1,6,7.29.2021,killarney,Lupinus polyphyllus,27
1,6,7.29.2021,killarney,Plantago lanceolata,9
1,6,7.29.2021,killarney,Rorippa palustris,1430
1,6,7.29.2021,killarney,Sysimbrium officinale,195
1,6,7.29.2021,killarney,Trifolium incarnatum,22
1,6,7.29.2021,killarney,Trifolium pratense,2
1,6,7.29.2021,killarney,Trifolium repens,5
1,6,7.20.2021,locarno,Achillea millefolium,4
1,6,7.20.2021,locarno,Hypochaeris radicata,1
1,6,7.16.2021,moberly,Achillea millefolium,5
1,6,7.16.2021,moberly,Capsella bursa-pastoris,33
1,6,7.16.2021,moberly,Erodium cicutarium,17
1,6,7.16.2021,moberly,Hypochaeris radicata,1
1,6,7.16.2021,moberly,Matricaria discoidea,8
1,6,7.16.2021,moberly,Plantago lanceolata,19
1,6,7.16.2021,moberly,Ranunculus repens,1
1,6,7.16.2021,moberly,Trifolium dubium,4
1,6,7.16.2021,moberly,Trifolium repens,17
1,6,7.21.2021,oak meadows,Achillea millefolium,2387
1,6,7.21.2021,oak meadows,Hypochaeris radicata,24
1,6,7.16.2021,prince of wales,Achillea millefolium,752
1,6,7.16.2021,prince of wales,Hypochaeris radicata,9
1,6,7.16.2021,prince of wales,Ranunculus acris,2
1,6,7.16.2021,prince of wales,Trifolium pratense,118
1,6,7.16.2021,prince of wales,Trifolium repens,30
1,6,7.16.2021,prince of wales,Veronica serpyllifolia,37
1,6,7.21.2021,queen elizabeth,Hypochaeris radicata,136
1,6,7.16.2021,quilchena,Achillea millefolium,91
1,6,7.16.2021,quilchena,Hypochaeris radicata,83
1,6,7.16.2021,quilchena,Matricaria discoidea,1
1,6,7.16.2021,quilchena,Trifolium dubium,5
1,6,7.16.2021,quilchena,Trifolium pratense,7
