species,clade,total_captures,phenology_peak,phenology_decay,pollen_specialization,degree,normalised_degree,d,degree_scaled,normalised_degree_scaled,d_scaled
Megachile rotundata,Anthophila,,,,,12,0.1,0.305612191,0.368935435,0.368935435,0.101078204
Melissodes microstictus,Anthophila,,,,Asteraceae,17,0.141666667,0.331407177,0.918741723,0.918741723,0.266027034
Nomada sp.,Anthophila,,,,,16,0.133333333,0.318292924,0.808780465,0.808780465,0.182166523
Osmia dolerosa,Anthophila,,,,,10,0.083333333,0.253543698,0.149012919,0.149012919,-0.231879405
Osmia lignaria,Anthophila,,,,,2,0.016666667,0.337485294,-0.730677142,-0.730677142,0.304894211
Osmia morph 1,Anthophila,,,,,6,0.05,0.234529827,-0.290832111,-0.290832111,-0.353465655
Osmia pusilla,Anthophila,,,,,2,0.016666667,0.259716213,-0.730677142,-0.730677142,-0.192408588
Sphecodes arvensiformis (morph),Anthophila,,,,,5,0.041666667,0.234274234,-0.400793369,-0.400793369,-0.355100072
Sphecodes clematidis (morph),Anthophila,,,,,3,0.025,0.302052548,-0.620715884,-0.620715884,0.078315685
Eristalinus aeneus,Syrphidae,,,,,4,0.033333333,0.067947217,-0.510754627,-0.510754627,-1.418696167
Eristalis anthophorina,Syrphidae,,,,,1,0.008333333,0.305552679,-0.8406384,-0.8406384,0.100697651
Eristalis arbustorum,Syrphidae,,,,,22,0.183333333,0.412367571,1.468548011,1.468548011,0.783737027
Eristalis brousii,Syrphidae,,,,,3,0.025,0.219397581,-0.620715884,-0.620715884,-0.450230442
Eristalis flavipes,Syrphidae,,,,,1,0.008333333,0.125944245,-0.8406384,-0.8406384,-1.047827904
Eristalis hirta,Syrphidae,,,,,1,0.008333333,0.189076522,-0.8406384,-0.8406384,-0.644121729
Eristalis stipator,Syrphidae,,,,,1,0.008333333,0.09099733,-0.8406384,-0.8406384,-1.27129973
Eristalis tenax,Syrphidae,,,,,7,0.058333333,0.304321791,-0.180870854,-0.180870854,0.092826604
Eritalis hirta,Syrphidae,,,,,1,0.008333333,0.125944245,-0.8406384,-0.8406384,-1.047827904
Eumerus sp.,Syrphidae,,,,,8,0.066666667,0.278323684,-0.070909596,-0.070909596,-0.073421106
Eupeodes fumipennis,Syrphidae,,,,,14,0.116666667,0.131738671,0.58885795,0.58885795,-1.010774817
Eupeodes volucris,Syrphidae,,,,,21,0.175,0.237184196,1.358586753,1.358586753,-0.336492006
Fazia macrura,Syrphidae,,,,,1,0.008333333,0.799943574,-0.8406384,-0.8406384,3.262133683
Helophilus fasciatus,Syrphidae,,,,,2,0.016666667,0.116463604,-0.730677142,-0.730677142,-1.108452887
Heringia morph1,Syrphidae,,,,,2,0.016666667,0.436463764,-0.730677142,-0.730677142,0.937822736
Heringia morph2,Syrphidae,,,,,1,0.008333333,0.192626042,-0.8406384,-0.8406384,-0.62142394
Lapposyrphus lapponicus,Syrphidae,,,,,1,0.008333333,0.358880077,-0.8406384,-0.8406384,0.441705463
Melanostoma mellinum,Syrphidae,,,,,4,0.033333333,0.374563047,-0.510754627,-0.510754627,0.541991912
Meligramma triangulifera,Syrphidae,,,,,1,0.008333333,0.641402607,-0.8406384,-0.8406384,2.248326328
Merodon equestris,Syrphidae,,,,,8,0.066666667,0.273071368,-0.070909596,-0.070909596,-0.107007605
Myathropa florea,Syrphidae,,,,,10,0.083333333,0.254803261,0.149012919,0.149012919,-0.223824991
Parasyrphus insolitus,Syrphidae,,,,,1,0.008333333,1,-0.8406384,-0.8406384,4.541416133
Platycheirus stegnus,Syrphidae,,,,,14,0.116666667,0.247285356,0.58885795,0.58885795,-0.271899051
Platycheirus trichopus,Syrphidae,,,,,3,0.025,0.17383682,-0.620715884,-0.620715884,-0.741573656
Scaeva pyrastri,Syrphidae,,,,,4,0.033333333,0.085425809,-0.510754627,-0.510754627,-1.306927421
Sericomyia chalcopyga,Syrphidae,,,,,2,0.016666667,0.234255385,-0.730677142,-0.730677142,-0.355220605
Sphaerophoria philanthus,Syrphidae,,,,,14,0.116666667,0.142205499,0.58885795,0.58885795,-0.943843557
Sphaerophoria sulphuripes,Syrphidae,,,,,14,0.116666667,0.206133272,0.58885795,0.58885795,-0.535050499
Spilomyia citima,Syrphidae,,,,,3,0.025,0.135670469,-0.620715884,-0.620715884,-0.985632514
Syritta pipiens,Syrphidae,,,,,26,0.216666667,0.333004938,1.908393042,1.908393042,0.27624409
Syrphus latifasciatus,Syrphidae,,,,,1,0.008333333,0.179311409,-0.8406384,-0.8406384,-0.706565804
Syrphus opinator,Syrphidae,,,,,13,0.108333333,0.178499414,0.478896692,0.478896692,-0.711758191
Syrphus ribesii,Syrphidae,,,,,2,0.016666667,0.442886604,-0.730677142,-0.730677142,0.978894282
Syrphus torvus,Syrphidae,,,,,2,0.016666667,0.557172151,-0.730677142,-0.730677142,1.709705569
Syrphus vitripennis,Syrphidae,,,,,1,0.008333333,0.441346181,-0.8406384,-0.8406384,0.969043878
Toxomerus marginatus,Syrphidae,,,,,16,0.133333333,0.201079913,0.808780465,0.808780465,-0.567364753
Toxomerus occidentalis,Syrphidae,,,,,6,0.05,0.098068455,-0.290832111,-0.290832111,-1.226082654
