sampling_round,site,date,clade,bee_id,sex,collected_specimen,collected_pollen,id_within_sitebydate,unique_specimen_id,overall_unique_can_assign_w_R,plant_netted_from_famly,plant_netted_from_genus,plant_netted_from_sci_name,notes_pollen_and_or_bee
2,killarney,5.28.2021,,Bombus mixtus,f,n,y,8,NA,93,Fabaceae,Trifolium,Trifolium repens,
2,killarney,5.28.2021,,Bombus melanopygus,f,n,y,9,NA,94,Fabaceae,Trifolium,Trifolium repens,
2,killarney,5.28.2021,,Bombus vosnesenskii,NA,n,n,10,NA,95,Fabaceae,Trifolium,Trifolium repens,"duplicate, not collected"
2,killarney,5.28.2021,,Bombus vosnesenskii,f,n,y,11,NA,96,Fabaceae,Trifolium,Trifolium repens,
2,killarney,5.28.2021,,Bombus vosnesenskii,f,n,y,12,NA,97,Fabaceae,Trifolium,Trifolium repens,
2,killarney,5.28.2021,,Andrena,f,MISSING?,MISSING?,26,MISSING?,98,Ranunculaceae,Ranunculus,Ranunculus repens,can't find any specimen
2,locarno,5.28.2021,,Bombus melanopygus,f,n,y,1,NA,99,Asteraceae,Bellis,Bellis perennis,
2,locarno,5.28.2021,,Agapostemon,f,y,y,2,JCU2021_52,100,Asteraceae,Bellis,Bellis perennis,
2,locarno,5.28.2021,,Nomada,f,y,y,3,JCU2021_53,101,Asteraceae,Bellis,Bellis perennis,
2,locarno,5.28.2021,,Agapostemon,f,y,y,4,JCU2021_54,102,Asteraceae,Bellis,Bellis perennis,
2,locarno,5.28.2021,,Bombus flavifrons,f,n,y,5,NA,103,Ericaceae,Rhododendron,Rhododendron macrophyllum,
2,locarno,5.28.2021,,Bombus mixtus,f,n,y,6,NA,104,Ericaceae,Rhododendron,Rhododendron macrophyllum,"tough id, some Rosaceae pollen plus small pollen could be Rosaceae too but is very small and stained too dark to see wall, plus also maybe maple pollen"
2,locarno,5.28.2021,,Bombus mixtus,f,n,y,7,NA,105,Ericaceae,Rhododendron,Rhododendron macrophyllum,
2,locarno,5.28.2021,,Lasioglossum,f,y,y,8,JCU2021_55,106,Asteraceae,Hypochaeris,Hypochaeris radicata,
2,locarno,5.28.2021,,Agapostemon,f,y,y,9,JCU2021_56,107,Asteraceae,Hypochaeris,Hypochaeris radicata,
2,south memorial,5.26.2021,,Bombus vosnesenskii,f,n,,1,,108,Fabaceae,Lupinus,Lupinus polyphyllus,
2,south memorial,5.26.2021,,Bombus vosnesenskii,f,n,,2,,109,Fabaceae,Lupinus,Lupinus polyphyllus,
2,south memorial,5.26.2021,,Bombus flavifrons,f,n,,3,,110,Fabaceae,Lupinus,Lupinus polyphyllus,
2,south memorial,5.26.2021,,Bombus vosnesenskii,f,n,,4,,111,Fabaceae,Lupinus,Lupinus polyphyllus,
2,south memorial,5.26.2021,,Megachile,f,y,,5,JCU2021_872,112,Fabaceae,Lupinus,Lupinus polyphyllus,
2,south memorial,5.26.2021,,Bombus vosnesenskii,f,n,,6,,113,Fabaceae,Lupinus,Lupinus polyphyllus,
2,south memorial,5.26.2021,,Bombus vosnesenskii,f,n,,7,,114,Fabaceae,Lupinus,Lupinus polyphyllus,
2,south memorial,5.26.2021,,Megachile,f,y,,8,JCU2021_873,115,Fabaceae,Lupinus,Lupinus polyphyllus,
2,south memorial,5.26.2021,Syrphidae,Platycheirus stegnus (morph),f,y,,9,JCU2021_837,116,Brassicaceae,Hesperis,Hesperis matronalis,
2,south memorial,5.26.2021,,Bombus vosnesenskii,f,n,,10,,117,Papaveraceae,Eschscholzia,Eschscholzia californica,
2,south memorial,5.26.2021,,Halictus,f,y,,11,JCU2021_825,118,Papaveraceae,Eschscholzia,Eschscholzia californica,
2,south memorial,5.26.2021,,Halictus,f,y,,12,JCU2021_826,119,Papaveraceae,Eschscholzia,Eschscholzia californica,
2,south memorial,5.26.2021,,Andrena,f,y,,13,JCU2021_827,120,Papaveraceae,Eschscholzia,Eschscholzia californica,
2,south memorial,5.26.2021,,Bombus vosnesenskii,f,n,,14,,121,Papaveraceae,Eschscholzia,Eschscholzia californica,
2,south memorial,5.26.2021,,Bombus vosnesenskii,f,n,,15,,122,Papaveraceae,Eschscholzia,Eschscholzia californica,
2,south memorial,5.26.2021,,Apis mellifera,f,n,,16,,123,Fabaceae,Trifolium,Trifolium repens,
2,south memorial,5.26.2021,,Apis mellifera,f,n,,17,,124,Fabaceae,Trifolium,Trifolium repens,
2,south memorial,5.26.2021,,Apis mellifera,f,n,,18,,125,Fabaceae,Trifolium,Trifolium repens,
2,south memorial,5.26.2021,,Apis mellifera,f,n,,19,,126,Fabaceae,Trifolium,Trifolium repens,
2,moberly,5.28.2021,,Bombus melanopygus,f,n,y,3,NA,127,Caprifoliaceae,Symphoricarpos,Symphoricarpos albus,
2,moberly,5.28.2021,,Bombus mixtus,f,n,y,4,NA,128,Caprifoliaceae,Symphoricarpos,Symphoricarpos albus,"small rosaceae, could be fragaria or rubus"
2,moberly,5.28.2021,,Bombus mixtus,f,n,y,5,NA,129,Caprifoliaceae,Symphoricarpos,Symphoricarpos albus,
2,moberly,5.28.2021,,Apis mellifera,f,n,y,6,NA,130,Fabaceae,Trifolium,Trifolium repens,
2,moberly,5.28.2021,,Apis mellifera,f,n,y,8,NA,131,Fabaceae,Trifolium,Trifolium repens,
2,oak meadows,5.28.2021,,Bombus vosnesenskii,f,n,y,1,NA,132,Fabaceae,Lupinus,Lupinus polyphyllus,
2,oak meadows,5.28.2021,,Bombus melanopygus,f,n,y,2,NA,133,Fabaceae,Lupinus,Lupinus polyphyllus,
2,oak meadows,5.28.2021,,Bombus mixtus,f,n,y,3,NA,134,Fabaceae,Lupinus,Lupinus polyphyllus,
2,oak meadows,5.28.2021,,Bombus vosnesenskii,f,n,y,4,NA,135,Fabaceae,Lupinus,Lupinus polyphyllus,
2,oak meadows,5.28.2021,,Bombus melanopygus,f,n,y,5,NA,136,Fabaceae,Lupinus,Lupinus polyphyllus,
2,oak meadows,5.28.2021,,Bombus flavifrons,f,n,y,6,NA,137,Fabaceae,Lupinus,Lupinus polyphyllus,
2,oak meadows,5.28.2021,Syrphidae,Syrphus opinator,f,y,y,7,JCU2021_57,138,Fabaceae,Lupinus,Lupinus polyphyllus,
2,oak meadows,5.28.2021,,Bombus mixtus,f,n,y,8,NA,139,Fabaceae,Trifolium,Trifolium repens,
2,oak meadows,5.28.2021,,Bombus melanopygus,f,n,y,9,NA,140,Fabaceae,Trifolium,Trifolium repens,
2,oak meadows,5.28.2021,,Bombus vosnesenskii,f,n,y,10,NA,141,Ranunculaceae,Ranunculus,Ranunculus repens,
2,oak meadows,5.28.2021,,Andrena,f,y,y,11,JCU2021_58,142,Ranunculaceae,Ranunculus,Ranunculus repens,
2,oak meadows,5.28.2021,,Andrena,f,y,y,12,JCU2021_59,143,Ranunculaceae,Ranunculus,Ranunculus repens,nothing else really this small; could be saxifragaceae
2,oak meadows,5.28.2021,,Halictus rubicundus,f,n,y,13,NA,144,Ranunculaceae,Ranunculus,Ranunculus acris,cant distinguish between r acris and r repens
2,oak meadows,5.28.2021,,Andrena,f,y,y,14,JCU2021_60,145,Caryophyllaceae,Stellaria,Stellaria media,
2,prince of wales,5.25.2021,,Megachile,f,y,y,1,JCU2021_61,146,Fabaceae,Trifolium,Trifolium repens,
2,prince of wales,5.25.2021,,Megachile,f,y,y,2,JCU2021_62,147,Fabaceae,Trifolium,Trifolium repens,
2,prince of wales,5.25.2021,,Osmia,f,y,y,3,JCU2021_63,148,Fabaceae,Trifolium,Trifolium repens,
2,prince of wales,5.25.2021,,Bombus melanopygus,f,n,y,4,NA,149,Fabaceae,Trifolium,Trifolium pratense,
2,prince of wales,5.25.2021,,Bombus vosnesenskii,f,y,y,5,JCU2021_64,150,Fabaceae,Trifolium,Trifolium pratense,
2,prince of wales,5.25.2021,,Andrena,f,y,y,6,JCU2021_65,151,Fabaceae,Trifolium,Trifolium dubium,
2,prince of wales,5.25.2021,,Lasioglossum,f,y,y,7,JCU2021_66,152,Ranunculaceae,Ranunculus,Ranunculus repens,
2,prince of wales,5.25.2021,,Lasioglossum,f,y,y,8,JCU2021_67,153,Ranunculaceae,Ranunculus,Ranunculus repens,
2,prince of wales,5.25.2021,,Halictus rubicundus,f,n,y,9,NA,154,Ranunculaceae,Ranunculus,Ranunculus repens,
2,prince of wales,5.25.2021,,Halictus rubicundus,f,n,y,10,NA,155,Asteraceae,Achillea,Achillea millefolium,
2,queen elizabeth,5.28.2021,,Lasioglossum,f,y,y,1,JCU2021_68,156,Asteraceae,Bellis,Bellis perennis,Symphoricarpos pollen on the slide but didn't run into it during count
2,queen elizabeth,5.28.2021,Syrphidae,Eupeodes fumipennis,f,y,y,2,JCU2021_69,157,Asteraceae,Bellis,Bellis perennis,
2,queen elizabeth,5.28.2021,,Halictus rubicundus,f,n,y,3,NA,158,Asteraceae,Bellis,Bellis perennis,
2,queen elizabeth,5.28.2021,,Andrena,f,y,y,4,JCU2021_70,159,Asteraceae,Bellis,Bellis perennis,
2,queen elizabeth,5.28.2021,Syrphidae,Meridon equestris,f,y,y,5,JCU2021_71,160,Asteraceae,Bellis,Bellis perennis,
2,queen elizabeth,5.28.2021,,Andrena,f,y,y,6,JCU2021_72,161,Asteraceae,Bellis,Bellis perennis,Symphoricarpos pollen on the slide but didn't run into it during count
2,queen elizabeth,5.28.2021,,Andrena,f,y,y,7,JCU2021_73,162,Asteraceae,Bellis,Bellis perennis,
2,queen elizabeth,5.28.2021,,Andrena,f,y,y,9,JCU2021_74,163,Asteraceae,Bellis,Bellis perennis,
2,queen elizabeth,5.28.2021,Syrphidae,Eristalis tenax,m,y,y,8,JCU2021_75,164,Asteraceae,Bellis,Bellis perennis,
2,queen elizabeth,5.28.2021,,Andrena,f,y,y,10,JCU2021_76,165,Asteraceae,Bellis,Bellis perennis,
2,queen elizabeth,5.28.2021,,Lasioglossum,f,y,y,11,JCU2021_77,166,Ranunculaceae,Ranunculus,Ranunculus repens,
2,queen elizabeth,5.28.2021,,Halictus rubicundus,f,n,y,12,NA,167,Ranunculaceae,Ranunculus,Ranunculus repens,
2,quilchena,5.29.2021,,Agapostemon,f,y,y,1,JCU2021_78,168,Fabaceae,Trifolium,Trifolium repens,
2,quilchena,5.29.2021,,Agapostemon,f,y,y,2,JCU2021_79,169,Asteraceae,Bellis,Bellis perennis,"could be Iris, Crocosmia, Gladiolus etc: monocolpate, reticulate, large"
2,quilchena,5.29.2021,,Sphecodes,f,y,y,3,JCU2021_80,170,Asteraceae,Bellis,Bellis perennis,
2,rupert,5.22.2021,Syrphidae,Meridon equestris,f,y,y,1,JCU2021_81,171,Asteraceae,Bellis,Bellis perennis,
2,rupert,5.22.2021,Syrphidae,Meridon equestris,f,y,y,2,JCU2021_82,172,Ranunculaceae,Ranunculus,Ranunculus repens,
2,rupert,5.22.2021,,Lasioglossum,f,y,y,3,JCU2021_83,173,Ranunculaceae,Ranunculus,Ranunculus repens,
2,slocan,5.29.2021,,Bombus vosnesenskii,f,n,y,1,NA,174,Fabaceae,Trifolium,Trifolium repens,
2,slocan,5.29.2021,,Bombus mixtus,f,n,y,2,NA,175,Fabaceae,Trifolium,Trifolium repens,
2,slocan,5.29.2021,,Apis mellifera,f,n,y,3,NA,176,Fabaceae,Trifolium,Trifolium repens,
2,slocan,5.29.2021,,Bombus melanopygus,f,n,y,4,NA,177,Fabaceae,Trifolium,Trifolium repens,
2,slocan,5.29.2021,,Bombus mixtus,f,n,y,5,NA,178,Fabaceae,Trifolium,Trifolium repens,
2,slocan,5.29.2021,,Apis mellifera,f,n,y,6,NA,179,Fabaceae,Trifolium,Trifolium repens,
2,slocan,5.29.2021,,Apis mellifera,f,n,y,7,NA,180,Fabaceae,Trifolium,Trifolium repens,
2,slocan,5.29.2021,,Bombus mixtus,f,n,y,9,NA,181,Fabaceae,Trifolium,Trifolium repens,
2,slocan,5.29.2021,,Apis mellifera,NA,,,11,,182,Fabaceae,Trifolium,Trifolium repens,"duplicate, not collected"
2,slocan,5.29.2021,,Apis mellifera,NA,,,12,,183,Fabaceae,Trifolium,Trifolium repens,"duplicate, not collected"
2,slocan,5.29.2021,,Bombus vosnesenskii,f,n,y,13,NA,184,Fabaceae,Trifolium,Trifolium repens,
2,slocan,5.29.2021,,Apis mellifera,NA,,,15,,185,Fabaceae,Trifolium,Trifolium repens,"duplicate, not collected"
2,slocan,5.29.2021,,Apis mellifera,NA,,,16,,186,Fabaceae,Trifolium,Trifolium repens,"duplicate, not collected"
2,slocan,5.29.2021,,Apis mellifera,NA,,,17,,187,Fabaceae,Trifolium,Trifolium repens,"duplicate, not collected"
2,slocan,5.29.2021,,Apis mellifera,NA,,,18,,188,Fabaceae,Trifolium,Trifolium repens,"duplicate, not collected"
2,slocan,5.29.2021,,Bombus vosnesenskii,NA,,,19,,189,Fabaceae,Trifolium,Trifolium repens,"duplicate, not collected"
2,slocan,5.29.2021,,Bombus vosnesenskii,NA,,,20,,190,Fabaceae,Trifolium,Trifolium repens,"duplicate, not collected"
2,slocan,5.29.2021,,Bombus vosnesenskii,NA,,,21,,191,Fabaceae,Trifolium,Trifolium repens,"duplicate, not collected"
2,slocan,5.29.2021,,Bombus vosnesenskii,NA,,,22,,192,Fabaceae,Trifolium,Trifolium repens,"duplicate, not collected"
2,slocan,5.29.2021,,Apis mellifera,NA,,,23,,193,Fabaceae,Trifolium,Trifolium repens,"duplicate, not collected"
2,slocan,5.29.2021,,Apis mellifera,NA,,,24,,194,Fabaceae,Trifolium,Trifolium repens,"duplicate, not collected"
2,slocan,5.29.2021,,Apis mellifera,NA,,,25,,195,Fabaceae,Trifolium,Trifolium repens,"duplicate, not collected"
2,slocan,5.29.2021,,Bombus mixtus,NA,,,26,,196,Fabaceae,Trifolium,Trifolium repens,"duplicate, not collected"
2,slocan,5.29.2021,,Apis mellifera,NA,,,27,,197,Fabaceae,Trifolium,Trifolium repens,"duplicate, not collected"
2,slocan,5.29.2021,,Bombus vosnesenskii,NA,,,28,,198,Fabaceae,Trifolium,Trifolium repens,"duplicate, not collected"
2,slocan,5.29.2021,,Apis mellifera,NA,,,29,,199,Fabaceae,Trifolium,Trifolium repens,"duplicate, not collected"
2,slocan,5.29.2021,,Apis mellifera,NA,,,30,,200,Fabaceae,Trifolium,Trifolium repens,"duplicate, not collected"
2,slocan,5.29.2021,,Apis mellifera,NA,,,32,,201,Fabaceae,Trifolium,Trifolium repens,"duplicate, not collected"
2,slocan,5.29.2021,,Apis mellifera,NA,,,33,,202,Fabaceae,Trifolium,Trifolium repens,"duplicate, not collected"
2,slocan,5.29.2021,,Bombus flavifrons,f,n,y,35,NA,203,Fabaceae,Trifolium,Trifolium pratense,
2,slocan,5.29.2021,,Andrena,f,y,y,36,JCU2021_84,204,Asteraceae,Bellis,Bellis perennis,
2,slocan,5.29.2021,,Lasioglossum,f,y,y,37,JCU2021_85,205,Asteraceae,Bellis,Bellis perennis,
2,slocan,5.29.2021,,Lasioglossum,f,y,y,38,JCU2021_86,206,Asteraceae,Bellis,Bellis perennis,
2,west memorial,5.31.2021,,Lasioglossum,f,y,y,1,JCU2021_87,207,Ranunculaceae,Ranunculus,Ranunculus repens,
2,west memorial,5.31.2021,,Agapostemon,f,y,y,2,JCU2021_88,208,Ranunculaceae,Ranunculus,Ranunculus repens,
2,west memorial,5.31.2021,,Lasioglossum,f,y,y,3,JCU2021_89,209,Ranunculaceae,Ranunculus,Ranunculus repens,
2,west memorial,5.31.2021,,Halictus rubicundus,f,n,y,4,NA,210,Ranunculaceae,Ranunculus,Ranunculus repens,
2,west memorial,5.31.2021,,Halictus rubicundus,f,n,y,5,NA,211,Ranunculaceae,Ranunculus,Ranunculus repens,
